menuItemId,price
00012167-3e7a-424c-a928-8d87189cd909,78
00047d06-9aa5-458a-bbf0-a19863e9cc03,48
00068380-9256-446e-8908-34d4a2d71f14,90
000b8566-15ba-453f-824b-fd16122281a2,24
000bdefc-c89c-4fdc-bbd6-81d84b90132c,33
000f2cbb-9ed4-4696-9f7d-735ed9601e3f,50
0010a621-b355-46e3-b5a0-a7b352ead82e,46
0011bd40-bdf0-41f9-a743-15e681a55c6a,45
00157fc9-e550-40f7-b33b-87e5eb45b0e8,81
0019405c-393d-4a90-8e1e-3d0defcab072,98
001d65b9-95bf-4644-8ff1-ca4565107b49,34
001ebb0d-6f8e-4fb1-83f6-1c3355768425,11
00298f4e-692e-4e14-9ba7-9be5ebd551e0,18
002cbfcd-d7ea-4140-bf19-3df2654a1afd,58
002d2d3b-f77f-442b-b62e-aa363c321d30,13
002fb874-6799-4612-9f31-614748df480b,56
00354d21-f3ac-4614-9abf-74e4a071ba98,44
0037f9fe-a5ec-4e7b-ba14-d82834a4b498,74
003ad6f5-9272-4808-b691-5725c0b8a494,27
00400ce5-f638-4423-923b-1649d5d6671a,42
00422600-e807-46fe-9dcc-6aca7ece967c,25
0049cd3e-bc03-47b7-8415-504f52d48912,78
0049e96e-3386-43b0-8fd4-b4a16e4a2ce0,69
004f478e-2793-4eac-8301-868955bd36a9,96
004fa5bb-50e6-4a8f-817a-5933a03b40a4,45
00505d45-0342-44bd-821b-3a7217c18d16,26
0053bb22-ddcd-4e25-9016-a222f464a455,94
0053e75b-d9ad-4d03-a358-aba1e2e23082,92
00554836-cf2f-495f-a877-8f10731fadde,31
005ec349-0ec0-44a3-a2d6-f96dac9cfa9d,46
00612455-7228-4c38-93eb-6d1a925b30c4,24
00647d29-52c8-411b-a43a-61e35df50f36,97
0071639d-ef8f-41aa-bedc-9e9cd479a82d,99
0071de0e-63ff-4af2-8781-b043c04582f8,87
0073fb97-a21f-4730-960c-d8e41fccf78d,68
0074c03e-ff36-4ce9-bd16-76b5f714ea9a,56
007b6f13-2fc8-4835-a02e-6b88221d149a,82
0081f9a2-dc7a-4de6-9a17-0f944beb16fb,65
008292b1-8ef6-4885-a6e0-119c49ecbf2b,24
008bd1e1-3444-45f0-a51f-4d50f890b348,17
008c065f-b016-4a12-9bd9-6fdfb51083c4,12
008e2a53-a26b-461f-bd66-87d647724c2b,11
00903d78-1cc8-4673-99f0-a3ce995128c2,56
0091085b-f8ee-44f8-9928-3755fd9ccaf0,79
0091ab05-ed96-4c7b-aed4-596ad55c4c4c,77
0091fb30-3888-42ed-a44c-7d52aaf5f72f,33
0095262a-20a0-49ce-8ed5-ee8cdd2653ec,12
0099cb1c-fc41-4d4b-ba99-7ac8ebe62496,70
00a6af3b-fc5a-4769-a67b-69e025e8d2e7,19
00a7f1d0-f1b8-498e-ae56-89411d6341e4,58
00a9aab0-b147-4fca-9397-454aebb9364c,10
00aa22b0-0414-49fe-88fc-0aee33d8ec4a,54
00aea7e3-ea1b-44cb-ba8b-6601f9358259,81
00b02b36-8be3-4c4b-adb2-cf11f7cae999,47
00c324b3-b566-43fd-b604-97c88970c142,53
00c9e770-7f50-447d-b28b-038ddf852577,26
00ca4f12-5f3f-4e4a-87b0-eaa18949d61a,58
00cd458f-4e50-49a0-8194-15a128ddbb52,42
00d0c98b-79f1-449d-8d0f-63d158f949a1,52
00d30b6f-5b2e-43c2-8fc0-98ae9155627e,17
00d33c2d-f86d-468c-b5c5-125dc2e27199,93
00d45be3-ff54-4e67-91ce-6d93ad734735,61
00d921e0-b2aa-4f16-8f8f-c819f3349817,77
00db914b-709e-44bd-a711-2a2c0ce5827b,43
00dd7855-0c37-4bd1-9034-2e0473d4a0bc,73
00dfc699-a1d4-4eb7-a8c4-d0863f8fce57,71
00e4b80c-6901-4044-8dc1-6f6695dcd199,56
00e97984-4cfb-40b0-b801-56105e1843fc,38
00f19f76-b2ec-406c-8e70-12dbb2bdc59c,97
00f1a7e4-fcda-4b0c-95e4-a8240f76c14a,44
00f2f8be-c356-454b-91ea-1c3a5b717e90,55
00f4a7cb-99ac-44cb-9a66-21f32eb134d0,87
00f83550-d8e1-4500-a400-28caea492f18,80
00fbd71b-ac07-40ba-8163-5234224454fd,100
00fdbfad-8c77-49cc-b283-085ffd537aed,30
010009a4-b914-471c-a334-b4409089861d,30
01007cbd-f24d-4034-ae77-a4e924768d76,18
01043acf-9cbb-405e-a85b-42502ac36410,92
01059f6a-457a-410f-8bf5-dfe0e0c35b3e,51
010abebd-18a2-4a08-9871-96d40a1eeeac,59
010c1f24-cc06-4f3b-87b1-83527ace6849,53
010c2890-ea88-4050-bbd0-6b189f217fde,48
010d466d-7cdd-43f4-a84b-19b50e2509df,93
01134f1e-8343-4786-9237-f00eb32d29bb,96
0113858c-6b85-48c1-a60c-20550f80609d,36
0121165b-38e0-4160-bbde-396b58157126,94
0123acc3-1ca1-4c3e-baaf-3ee4cafb0c81,79
0124666d-b552-49a0-a00d-4911b762b111,35
0125f3db-2cce-4fd0-9e04-1cf4826e61a5,54
0126b06c-ba32-404e-a4f1-afb087be7435,49
012cf1e9-9fde-4fc3-9db5-c3b379933d13,34
012feec0-886e-4ca8-ae51-a57097cad6f4,29
01302945-ce01-4976-92e2-03cfcc9a0ed4,49
0130c5cc-1526-4b12-ac28-c27c89916743,69
0132dcb9-f2e1-4b0b-b3a9-1cd5185130aa,18
01398893-8e85-4aac-99e8-c488bc02f209,36
013a3ca5-5887-4ada-bece-d09fe34aebec,20
013d1e4c-c0be-4196-a453-3ef03ead118e,58
013ed8bb-1d34-4bc8-8fb7-ece9021298e8,93
014170eb-01c8-4e09-9cc2-c6892aa50d19,79
01417a20-937a-4de5-b1f5-28598b54cb3c,41
0142e78c-a7da-4510-a0cf-1f2c3f228151,33
0145b06e-8ffe-439c-981d-2ab7672a1737,67
01486f57-3d8b-4504-b05d-3d34630de308,76
014ad53f-7061-47f8-a6f0-b664d2e394ba,62
014b0d76-17dc-4841-89d4-1dc56415b4ac,18
014b106d-e690-4437-aa71-b08442e7fd1a,81
0151052a-733f-43f1-86e4-7f50de7de23a,75
0152ae96-2ac7-4068-a198-8373800186e3,100
01547bfc-13b7-4c86-9b58-42f3854ca639,73
0159c037-7c35-44d7-9e9f-74cd9c1baba0,48
015a2ec1-7d0f-4c14-b6cf-af7e8004e4a0,23
015f1b67-d29a-4a03-beb1-b2ae9759610a,45
016078f9-d4d7-429c-b4eb-a9e5ceb86ccb,41
